cores	feature	genes	comp_time
8	correlation_raw	1000	42.16
8	correlation_smooth	1000	38.83
8	euclidean_distance_smooth	1000	23.52
8	max_sliding_window_correlation_raw	1000	60.77
8	mean_sliding_window_correlation_raw	1000	64.64
16	correlation_raw	1000	41.48
16	correlation_smooth	1000	39.41
16	euclidean_distance_smooth	1000	23.29
16	max_sliding_window_correlation_raw	1000	60.91
16	mean_sliding_window_correlation_raw	1000	63.89
32	correlation_raw	1000	42.83
32	correlation_smooth	1000	39.31
32	euclidean_distance_smooth	1000	23.72
32	max_sliding_window_correlation_raw	1000	61.31
32	mean_sliding_window_correlation_raw	1000	64.40
64	correlation_raw	1000	42.20
64	correlation_smooth	1000	39.77
64	euclidean_distance_smooth	1000	23.75
64	max_sliding_window_correlation_raw	1000	61.01
64	mean_sliding_window_correlation_raw	1000	64.60
