cores	feature	genes	comp_time
8	correlation_raw	3186	382.28
8	correlation_smooth	3186	367.01
8	euclidean_distance_smooth	3186	198.87
8	max_sliding_window_correlation_raw	3186	587.85
8	mean_sliding_window_correlation_raw	3186	613.76
16	correlation_raw	3186	371.99
16	correlation_smooth	3186	349.55
16	euclidean_distance_smooth	3186	188.05
16	max_sliding_window_correlation_raw	3186	558.47
16	mean_sliding_window_correlation_raw	3186	597.24
32	correlation_raw	3186	378.18
32	correlation_smooth	3186	354.68
32	euclidean_distance_smooth	3186	190.27
32	max_sliding_window_correlation_raw	3186	564.66
32	mean_sliding_window_correlation_raw	3186	588.63
64	correlation_raw	3186	388.04
64	correlation_smooth	3186	362.23
64	euclidean_distance_smooth	3186	200.19
64	max_sliding_window_correlation_raw	3186	562.30
64	mean_sliding_window_correlation_raw	3186	605.47
