cores	feature	genes	comp_time
8	correlation_raw	200	12.18
8	correlation_smooth	200	9.63
8	euclidean_distance_smooth	200	4.10
8	max_sliding_window_correlation_raw	200	5.66
8	mean_sliding_window_correlation_raw	200	5.85
16	correlation_raw	200	12.30
16	correlation_smooth	200	9.70
16	euclidean_distance_smooth	200	4.01
16	max_sliding_window_correlation_raw	200	5.67
16	mean_sliding_window_correlation_raw	200	5.87
32	correlation_raw	200	12.57
32	correlation_smooth	200	9.73
32	euclidean_distance_smooth	200	4.01
32	max_sliding_window_correlation_raw	200	5.64
32	mean_sliding_window_correlation_raw	200	5.89
64	correlation_raw	200	13.21
64	correlation_smooth	200	9.71
64	euclidean_distance_smooth	200	4.06
64	max_sliding_window_correlation_raw	200	5.89
64	mean_sliding_window_correlation_raw	200	6.26
